City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Begin Trip Lat,Begin Trip Lng,Begin Trip Address,Dropoff Time,Dropoff Lat,Dropoff Lng,Dropoff Address,Distance (miles),Fare Amount,Fare Currency
Pune,UberAuto,CANCELED,2020-02-08 02:49:50 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.571531,73.7747332,"1, Shambhu Vihar Society, Nankude Vasti, Aundh, Pune, Maharashtra 411045, India",1970-01-01 00:00:00 +0000 UTC,18.5735518322007,73.77470776600833,"201, Archway, Sopanbaug, Balewadi High St, Laxman Nagar, Baner, Pune, Maharashtra 411045, India",0.00,0,INR
Pune,UberAuto,CANCELED,2020-02-08 02:47:32 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.5738061,73.7727224,"D-904, Regulus, S. No. 1/10/1, Balewadi, near Bharati Vidyapeeth School, Laxman Nagar, Baner, Pune, Maharashtra 411045, India",1970-01-01 00:00:00 +0000 UTC,18.5738073,73.7727253,"D-904, Regulus, S. No. 1/10/1, Balewadi, near Bharati Vidyapeeth School, Laxman Nagar, Baner, Pune, Maharashtra 411045, India",0.00,0,INR
Pune,UberAuto,CANCELED,2020-02-08 02:46:23 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,CANCELED,2020-02-08 02:39:44 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,,UNFULFILLED,2020-02-08 02:36:11 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,CANCELED,2020-02-07 02:44:50 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,COMPLETED,2020-02-06 02:38:21 +0000 UTC,2020-02-06 02:46:40 +0000 UTC,18.5765011,73.7734065,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2020-02-06 02:53:42 +0000 UTC,18.5642904,73.7757581,"Ganraj chowk, HQ7G+P7H, Veerbhadra Nagar, Baner, Pune, Maharashtra 411045, India",1.05,32.59,INR
Pune,UberAuto,CANCELED,2020-01-28 12:45:58 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberAuto,COMPLETED,2020-01-28 12:23:49 +0000 UTC,2020-01-28 12:33:14 +0000 UTC,18.5766333,73.7735517,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2020-01-28 12:39:36 +0000 UTC,18.5669767,73.78256,"Chakankar Mala, HQ8M+Q2H, Baner - Balewadi Rd, Chakankar Mala, Prathamesh Park, Baner, Pune, Maharashtra 411045, India",1.15,39.25,INR
Pune,UberGo,COMPLETED,2020-01-24 14:14:34 +0000 UTC,2020-01-24 14:19:42 +0000 UTC,18.5580655,73.7727161,"92/3, Baner, Pune, Maharashtra 411045, India",2020-01-24 14:33:21 +0000 UTC,18.571858,73.7698106,"A1, Golden St, Baner Gaon, Balewadi, Pune, Maharashtra 411045, India",2.74,100.22,INR
Pune,UberAuto,CANCELED,2020-01-24 14:12:47 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,,,,1970-01-01 00:00:00 +0000 UTC,,,,0.00,0,INR
Pune,UberGo,CANCELED,2020-01-24 14:10:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,18.5637424,73.7880543,"Bharatratna Dr Babasaheb Ambedkar Bridge, Baner, Pune, Maharashtra 411045, India",1970-01-01 00:00:00 +0000 UTC,18.5637424,73.7880543,"Bharatratna Dr Babasaheb Ambedkar Bridge, Baner, Pune, Maharashtra 411045, India",0.00,0,INR
Pune,UberGo,COMPLETED,2020-01-19 11:06:59 +0000 UTC,2020-01-19 11:23:14 +0000 UTC,18.5766067,73.773575,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2020-01-19 11:57:26 +0000 UTC,18.648455,73.780525,"179/28, panchatara Nagar, Bijali Nagar, Ganga Nagar, Akurdi, Pimpri-Chinchwad, Maharashtra 411035, India",9.54,217.52,INR
Pune,UberAuto,COMPLETED,2020-01-18 13:08:12 +0000 UTC,2020-01-18 13:15:14 +0000 UTC,18.576625,73.773515,"44, SR NO.44/12/1, Radha Krishna Hostel, Newar K Square, near SBI Bank, Balewadi, Pune, Maharashtra 411045, India",2020-01-18 13:57:15 +0000 UTC,18.6483667,73.780715,"179/23, panchatara Nagar, Bijali Nagar, Ganga Nagar, Akurdi, Pimpri-Chinchwad, Maharashtra 411035, India",8.41,181.12,INR
